price,sku,description,image,name
59.99,N82E16879225063,"An Army of Shadows is attacking. Who could be the one behind it all? Named IGN's Best Overall Fighting Game of 2012, and made an official selection of the Evolution Championship Series in 2013, Persona 4 Arena was a roaring success. Now, the ultimate tag team returns to present another super-heated battle! A collaboration between developers ATLUS and Arc System Works found resonance among the existing Persona/ATLUS fanbase and the hardcore fighting game community. Persona 4 Arena Ultimax is the long-awaited sequel, and a continuation of the story originally set forth in the award-winning RPG Persona 4. Bringing the series full circle and tying together the plots of Persona 3 and Persona 4, fans will enjoy controlling beautifully animated character sprites and experiencing top-notch quality, fully voiced ...",http://images10.newegg.com/ProductImageCompressAll125/79-225-063-23.jpg,"Persona 4 Arena Ultimax PlayStation 3"
19.99,N82E16879261475,"Experience the gaming phenomenon ""Minecraft"" rebuilt for the PlayStation 3 system! Discover a world with the freedom to do whatever you want. Dig down into the unknown depths or build incredible structures, from humble homes to grand cityscapes. Explore, build, and conquer alone or with your friends via split screen mode or online. The only limit is your imagination. - Learn your way around one block at a time in the new tutorial mode. - Craft all sorts of items from boats to diamond armor and create enormous structures. - Team up with friends in eight-player online multiplayer and four-player split screen modes.",http://images10.newegg.com/ProductImageCompressAll125/79-261-475-06.jpg,"Minecraft PS3"
39.99,N82E16879262066,"KINGDOM HEARTS HD 2.5 ReMIX is an HD remastered compilation of KINGDOM HEARTS II FINAL MIX and KINGDOM HEARTS Birth by Sleep FINAL MIX. Previously exclusive to Japan, both games will be available for the first time to North America for the PlayStation3 system. HD remastered cinematics from KINGDOM HEARTS Re:coded will also be included in the compilation. The game is a sequel to last year's KINGDOM HEARTS HD 1.5 ReMIX and will lead into the highly anticipated KINGDOM HEARTS III. The Kingdom Hearts saga continues with 3 magical journeys in one package! Experience new content never seen before in North America. If you're new to the franchise, this is the perfect opportunity to jump in. Limited edition includes the following three unforgettable games: KINGDOM HEARTS II FINAL MIX, KINGDOM HEARTS Birth by...",http://images10.newegg.com/ProductImageCompressAll125/79-262-066-15.jpg,"Kingdom Hearts HD II.5 ReMix Limited Edition PS3"
32.99,N82E16879200927,"Plants vs. Zombies Garden Warfare digs into the trenches with an explosive new action experience. Blast zombies, plants and new characters across a mine-blowing world that delivers the depth of a traditional online shooter blended on high with the refreshing humor of Plant vs. Zombies. Take on Co-op and Multiplayer action with your friends and sow the seeds of victory!",http://images10.newegg.com/ProductImageCompressAll125/79-200-927-08.jpg,"Plants vs Zombies Garden Warfare PS3"
59.99,N82E16879221280,"Everything changed with the arrival of the Traveler. It sparked a Golden Age when our civilization spanned the solar system, but it didn't last. Something hit us, knocked us down. The survivors built a city beneath the Traveler, and have begun to explore our old worlds, only to find them filled with deadly foes. You are a Guardian of the last safe city on Earth, able to wield incredible power. Defend the City. Defeat our enemies. Reclaim all that we have lost. Be brave. KEY FEATURES The next evolution of entertainment - an incredible story set within a newly-imagined, always-connected universe filled with action and adventure. Create your character, forge your legend by defeating powerful foes, and earn unique and customizable weapons, gear, and vehicles. Unprecedented variety of FPS game...",http://images10.newegg.com/ProductImageCompressAll125/79-221-280-09.jpg,"Destiny PS3"
24.00,N82E16879262054,"KH1.5 Story Synopsis KINGDOM HEARTS is the story of Sora whose world is shattered when a violent storm hits his island-paradise home, and is separated from his two closest friends - Riku and Kairi. The storm scatters the three to unknown worlds. At the same time, there's turmoil in Disney Castle. King Mickey is missing, and Donald and Goofy set out to find him. On their travels they meet Sora on his own search for his lost friends. Upon discovering the link between the storm and the disappearance of King Mickey, Sora, Donald and Goofy join forces and help familiar Disney heroes to save their worlds. KINGDOM HEARTS Re:Chain of Memories, what will Sora and his companions gain, and what will they lose? In addition to Sora, players can control Riku in this adventure that bridges the gap between...",http://images10.newegg.com/ProductImageCompressAll125/79-262-054-46.jpg,"Kingdom Hearts HD 1.5 Remix PlayStation3 Game"
54.99,N82E16879200916,"Welcome to Madden Season! Madden NFL 15 delivers everything you need to own your rivals on both sides of the field, including the most immersive defensive gameplay in franchise history. With all-new player-lock camera angles, pass rush tools, open-field tackling mechanics, and smarter AI, you've never been more armed to take control of the defense and challenge the best offenses in the game. Madden NFL 15 introduces a revolutionary crowd-sourced play-calling system with three distinct ways to run offense and defense: coach suggestions, Madden community picks, and concept plays providing a strategic edge to take on all rivals. Dynamic pre-game and halftime shows, in-depth player profiles, as well as enhanced on-field graphics deliver next-generation broadcast presentation.",http://images10.newegg.com/ProductImageCompressAll125/79-200-916-11.jpg,"Madden NFL 15 PS3"
38.99,N82E16879261377,"Survive an apocalypse on Earth in The Last of Us, a PlayStation 3-exclusive title by Naughty Dog. Here, you will find abandoned cities reclaimed by nature. Here is a population decimated by a modern plague. Here, there are only survivors killing each other for food, weapons, or whatever they can get their hands on. Here, you find no hope. Joel, a brutal survivor, and Ellie, a brave young teenage girl who is wise beyond her years, must work together if they hope to survive their journey across the US.",http://images10.newegg.com/ProductImageCompressAll125/79-261-377-08.jpg,"The Last of Us"
39.99,N82E16879229004,"""Ultimate Evil"" includes both the original game, and the expansion that was recently released for PC. The game will allow transfer of old characters from the original console release of the game to this new version, even if you're jumping from last generation to current generation. The game also has four player multiplayer (local and online) and a few features that aren't even in the PC version of Reaper of Souls. There's ""item gifting"" where players will be able to send friends a loot package if they find a Legendary item, and ""avenger kills"" which allow players to seek revenge on a powerful monster that slayed one of their friends (and subsequently grew stronger).",http://images10.newegg.com/ProductImageCompressAll125/79-229-004-03.jpg,"Diablo 3: Ultimate Evil Edition PS3"
22.65,N82E16879253096,"A Storm of Epic Proportions. The critically acclaimed Naruto Shippuden: Ultimate Ninja Storm series is back in 2013 on PS3 and X360, celebrating the return of highly awaited boss battles and welcoming brand new features to revamp the game experience. More immersive, more faithful and more extreme, Naruto Shippuden: Ultimate Ninja Storm 3 will offer the most epic Naruto experience ever seen in a video game. Dattebayo! Features Absolute Immersion - Naruto Shippuden: Ultimate Ninja Storm 3 offers the most immersive and epic Naruto game ever created. Bigger Scale Boss Battles - Boss Battles are back and more impressive than ever before. Prepare to battle through an entire village in a huge boss battle with Nine-Tails. Authentic Naruto Experience - Play through the anime-driven story mode and reli...",http://images10.newegg.com/NeweggImage/ProductImageCompressAll125/79-253-096-10.jpg,"Naruto Shippuden: Ultimate Ninja Storm 3 PlayStation 3"
